"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"ILLPOPF_AG15T99_RUR","Adult illiterate population, 15+ years, rural, % female","PER","Peru","2017","2017",74.08084,,
"ILLPOPF_AG15T99_RUR","Adult illiterate population, 15+ years, rural, % female","PER","Peru","2018","2018",73.19909,,
"ILLPOPF_AG15T99_RUR","Adult illiterate population, 15+ years, rural, % female","PER","Peru","2020","2020",72.07165,,
"ILLPOPF_AG15T99_RUR","Adult illiterate population, 15+ years, rural, % female","MNG","Mongolia","2020","2020",47.40912,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40616","Southern Asia","2017","2017",63.9135,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40616","Southern Asia","2018","2018",63.79752,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40616","Southern Asia","2019","2019",63.45995,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40616","Southern Asia","2020","2020",63.60324,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40616","Southern Asia","2021","2021",63.71349,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40616","Southern Asia","2022","2022",63.449,,
"ILLPOPF_AG15T24_RUR","Illiterate youth population, 15-24 years, rural, % female","MDG","Madagascar","2018","2018",51.36357,,
"ILLPOPF_AG15T24_URB","Illiterate youth population, 15-24 years, urban, % female","IND","India","2022","2022",53.93946,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","40656","Oceania (excluding Australia and New Zealand)","2017","2017",42.42539,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","40656","Oceania (excluding Australia and New Zealand)","2018","2018",42.43215,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","40656","Oceania (excluding Australia and New Zealand)","2019","2019",42.44538,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","40656","Oceania (excluding Australia and New Zealand)","2020","2020",42.4673,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","40656","Oceania (excluding Australia and New Zealand)","2021","2021",42.46456,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","PRT","Portugal","2021","2021",67.62607,"‡","UIS Estimation"
"ILLPOPF_AG15T99_URB","Adult illiterate population, 15+ years, urban, % female","RWA","Rwanda","2018","2018",64.06061,,
"ILLPOPF_AG15T99_URB","Adult illiterate population, 15+ years, urban, % female","GIN","Guinea","2018","2018",66.34236,,
"ILLPOPF_AG15T99_URB","Adult illiterate population, 15+ years, urban, % female","ECU","Ecuador","2017","2017",54.28956,,
"ILLPOPF_AG15T99_URB","Adult illiterate population, 15+ years, urban, % female","ECU","Ecuador","2020","2020",53.65236,,
"ILLPOPF_AG15T99_URB","Adult illiterate population, 15+ years, urban, % female","ECU","Ecuador","2021","2021",54.99693,,
"ILLPOPF_AG15T99_URB","Adult illiterate population, 15+ years, urban, % female","ECU","Ecuador","2022","2022",60.18934,,
"ILLPOPF_AG15T24_RUR","Illiterate youth population, 15-24 years, rural, % female","PHL","Philippines","2019","2019",29.60689,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","TGO","Togo","2019","2019",69.11679,,
"ILLPOPF_AG15T99_RUR","Adult illiterate population, 15+ years, rural, % female","OMN","Oman","2022","2022",63.03535,"+","National Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","SGP","Singapore","2017","2017",38.56929,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","SGP","Singapore","2018","2018",36.74952,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","SGP","Singapore","2019","2019",35.78847,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","SGP","Singapore","2020","2020",35.40277,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","GNB","Guinea-Bissau","2022","2022",65.87354,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40530","Central and Eastern Europe","2017","2017",77.66753,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40530","Central and Eastern Europe","2018","2018",79.35344,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40530","Central and Eastern Europe","2019","2019",79.26498,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40530","Central and Eastern Europe","2020","2020",79.32121,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40530","Central and Eastern Europe","2021","2021",79.21251,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40530","Central and Eastern Europe","2022","2022",78.96022,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","PSE","Palestine","2017","2017",76.76506,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","PSE","Palestine","2018","2018",76.60101,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","PSE","Palestine","2019","2019",77.90517,,
"ILLPOPF_AG15T24_RUR","Illiterate youth population, 15-24 years, rural, % female","BFA","Burkina Faso","2018","2018",54.27737,,
"ILLPOPF_AG15T24_RUR","Illiterate youth population, 15-24 years, rural, % female","BFA","Burkina Faso","2019","2019",51.92138,,
"ILLPOPF_AG15T24_URB","Illiterate youth population, 15-24 years, urban, % female","BTN","Bhutan","2017","2017",43.16067,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","BOL","Bolivia (Plurinational State of)","2020","2020",52.40674,,
"ILLPOPF_AG15T99_RUR","Adult illiterate population, 15+ years, rural, % female","RUS","Russian Federation","2021","2021",46.98579,,
"ILLPOPF_AG15T24_URB","Illiterate youth population, 15-24 years, urban, % female","BDI","Burundi","2017","2017",46.4407,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","CMR","Cameroon","2018","2018",62.51974,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","CMR","Cameroon","2020","2020",62.27103,"‡","UIS Estimation"
"ILLPOPF_AG15T99_RUR","Adult illiterate population, 15+ years, rural, % female","VNM","Viet Nam","2019","2019",66.01726,,
"ILLPOPF_AG15T99_URB","Adult illiterate population, 15+ years, urban, % female","PAK","Pakistan","2017","2017",60.60676,,
"ILLPOPF_AG15T99_URB","Adult illiterate population, 15+ years, urban, % female","PAK","Pakistan","2018","2018",62.63479,,
"ILLPOPF_AG15T99_URB","Adult illiterate population, 15+ years, urban, % female","PAK","Pakistan","2019","2019",61.52945,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","POL","Poland","2021","2021",32.26053,"‡","UIS Estimation"
"ILLPOPF_AG15T24_URB","Illiterate youth population, 15-24 years, urban, % female","GTM","Guatemala","2018","2018",54.9359,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40550","Small Island Developing States","2017","2017",54.92715,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40550","Small Island Developing States","2018","2018",54.90412,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40550","Small Island Developing States","2019","2019",54.87037,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40550","Small Island Developing States","2020","2020",54.89815,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40550","Small Island Developing States","2021","2021",54.84287,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","40550","Small Island Developing States","2022","2022",54.84055,"‡","UIS Estimation"
"ILLPOPF_AG15T99_RUR","Adult illiterate population, 15+ years, rural, % female","MLI","Mali","2018","2018",56.3298,,
"ILLPOPF_AG15T99_RUR","Adult illiterate population, 15+ years, rural, % female","MLI","Mali","2020","2020",55.16111,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","PRK","Democratic People's Republic of Korea","2018","2018",69.18082,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","40603","Northern Africa","2017","2017",52.20263,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","40603","Northern Africa","2018","2018",51.49295,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","40603","Northern Africa","2019","2019",51.14998,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","40603","Northern Africa","2020","2020",50.8744,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","40603","Northern Africa","2021","2021",50.59337,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","40603","Northern Africa","2022","2022",50.31312,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","KAZ","Kazakhstan","2020","2020",69.56788,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","LVA","Latvia","2021","2021",43.71671,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","CYM","Cayman Islands","2017","2017",60.86613,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","BGR","Bulgaria","2021","2021",53.91019,"‡","UIS Estimation"
"ILLPOPF_AG15T24_RUR","Illiterate youth population, 15-24 years, rural, % female","KWT","Kuwait","2017","2017",30.72508,,
"ILLPOPF_AG15T24_RUR","Illiterate youth population, 15-24 years, rural, % female","KWT","Kuwait","2018","2018",24.94343,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","RWA","Rwanda","2018","2018",42.89867,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","RWA","Rwanda","2021","2021",37.23415,"‡","UIS Estimation"
"ILLPOPF_AG15T99_RUR","Adult illiterate population, 15+ years, rural, % female","BLR","Belarus","2019","2019",55.69274,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ECU","Ecuador","2017","2017",39.34232,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ECU","Ecuador","2020","2020",36.90778,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ECU","Ecuador","2021","2021",25.44946,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ECU","Ecuador","2022","2022",42.97742,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","UGA","Uganda","2018","2018",63.9058,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","UGA","Uganda","2022","2022",61.89056,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","GEO","Georgia","2017","2017",59.61757,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","GEO","Georgia","2022","2022",58.7797,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","SWZ","Eswatini","2020","2020",35.39273,"‡","UIS Estimation"
"ILLPOPF_AG15T24_URB","Illiterate youth population, 15-24 years, urban, % female","OMN","Oman","2022","2022",36.87376,"+","National Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","VEN","Venezuela (Bolivarian Republic of)","2022","2022",48.44199,"‡","UIS Estimation"
"ILLPOPF_AG15T99_URB","Adult illiterate population, 15+ years, urban, % female","AZE","Azerbaijan","2017","2017",70.40888,,
"ILLPOPF_AG15T99_URB","Adult illiterate population, 15+ years, urban, % female","AZE","Azerbaijan","2019","2019",70.2536,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","IDN","Indonesia","2018","2018",50.51078,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","IDN","Indonesia","2020","2020",48.2769,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","CYP","Cyprus","2021","2021",44.03616,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","NGA","Nigeria","2018","2018",62.49127,"‡","UIS Estimation"
"ILLPOPF_AG15T99_RUR","Adult illiterate population, 15+ years, rural, % female","BDI","Burundi","2017","2017",62.98229,,
"ILLPOPF_AG15T24_URB","Illiterate youth population, 15-24 years, urban, % female","RUS","Russian Federation","2021","2021",44.26138,,
"ILLPOPF_AG15T24_URB","Illiterate youth population, 15-24 years, urban, % female","UZB","Uzbekistan","2018","2018",50.10161,,
"ILLPOPF_AG15T24_URB","Illiterate youth population, 15-24 years, urban, % female","UZB","Uzbekistan","2019","2019",50.15195,,
"ILLPOPF_AG15T24_URB","Illiterate youth population, 15-24 years, urban, % female","UZB","Uzbekistan","2021","2021",50.23535,,
"ILLPOPF_AG15T24_URB","Illiterate youth population, 15-24 years, urban, % female","UZB","Uzbekistan","2022","2022",50.22662,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","EGY","Egypt","2017","2017",59.14767,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","EGY","Egypt","2022","2022",60.56123,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","JOR","Jordan","2021","2021",36.60236,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","COG","Congo","2021","2021",57.83952,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","ZWE","Zimbabwe","2022","2022",47.43694,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ESP","Spain","2018","2018",43.84836,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ESP","Spain","2020","2020",31.39759,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","CAF","Central African Republic","2018","2018",59.86793,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","CAF","Central African Republic","2020","2020",59.63555,"‡","UIS Estimation"
"ILLPOPF_AG15T24_URB","Illiterate youth population, 15-24 years, urban, % female","MLI","Mali","2018","2018",70.63136,,
"ILLPOPF_AG15T24_URB","Illiterate youth population, 15-24 years, urban, % female","MLI","Mali","2020","2020",69.31491,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","40510","World","2017","2017",56.81147,,
